SampleID	Population	STD_Length	Total_Length	Weight	IncrSums	Inversion
D1Gen5_200	D1Gen5	49	58	88	28275	
D1Gen5_239	D1Gen5	49	57	113	28559	
D1Gen5_245	D1Gen5	49	56	11	28449	
D1Gen5_256	D1Gen5	51	59	69	28474	
D1Gen5_339	D1Gen5	50	57	76	28382	
D2Gen5_106	D2Gen5	51	59	72	28726	SS
D2Gen5_1155	D2Gen5	50	57	92	28186	NN
D2Gen5_506	D2Gen5	50	585	73	28230	NN
D2Gen5_523	D2Gen5	50	585	77	28355	NS
D2Gen5_530	D2Gen5	50	58	8	28765	NS
D2Gen5_212	D2Gen5	53	63	0.95	28489	SS
RGen0_1085	RGen0	73	85	44	23618	
RGen0_1087	RGen0	73	87	407	23520	
RGen0_1088	RGen0	71	80	406	23411	
RGen0_1090	RGen0	73	82	37	23586	
RGen0_1107	RGen0	73	85	356	23366	
U1Gen5_229	U1Gen5	71	824	244	17997	
U1Gen5_276	U1Gen5	69	79	245	18101	
U1Gen5_323	U1Gen5	70	81	26	18139	
U1Gen5_326	U1Gen5	71	82	307	18414	
U1Gen5_353	U1Gen5	69	82	315	17886	
U2Gen5_1465	U2Gen5	69	73	154	18117	
U2Gen5_553	U2Gen5	70	80	238	18139	
U2Gen5_559	U2Gen5	71	81	234	18392	
U2Gen5_562	U2Gen5	71	84	318	17912	
U2Gen5_567	U2Gen5	70	82	27	18494
