date,total_cases
2020-01-22,557
2020-01-23,98
2020-01-24,286
2020-01-25,492
2020-01-26,685
2020-01-27,809
2020-01-28,2651
2020-01-29,589
2020-01-30,2068
2020-01-31,1692
2020-02-01,2111
2020-02-02,4749
2020-02-03,3100
2020-02-04,4011
2020-02-05,3745
2020-02-06,3160
2020-02-07,3593
2020-02-08,2734
2020-02-09,3030
2020-02-10,2609
2020-02-11,2042
2020-02-12,418
2020-02-13,15153
2020-02-14,6527
2020-02-15,2143
2020-02-16,2183
2020-02-17,2035
2020-02-18,1882
2020-02-19,500
2020-02-20,560
2020-02-21,629
2020-02-22,1761
2020-02-23,380
2020-02-24,564
2020-02-25,853
2020-02-26,977
2020-02-27,1360
2020-02-28,1387
2020-02-29,1890
2020-03-01,2381
2020-03-02,1983
2020-03-03,2594
2020-03-04,2308
2020-03-05,2811
2020-03-06,3913
2020-03-07,4095
2020-03-08,3949
2020-03-09,4172
2020-03-10,4822
2020-03-11,7661
2020-03-12,5790
2020-03-13,14386
2020-03-14,11074
2020-03-15,11270
2020-03-16,14810
2020-03-17,15944
2020-03-18,19558
2020-03-19,27049
2020-03-20,30777
2020-03-21,32003
2020-03-22,34874
2020-03-23,42854
2020-03-24,41171
2020-03-25,51024
2020-03-26,62847
2020-03-27,65071
2020-03-28,67269
2020-03-29,59264
2020-03-30,65279
2020-03-31,76847
2020-04-01,82792
2020-04-02,83064
2020-04-03,83546
2020-04-04,58412
2020-04-05,72599
2020-04-06,73141
2020-04-07,69833
2020-04-08,83349
2020-04-09,87025
2020-04-10,85541
2020-04-11,74308
2020-04-12,119695
2020-04-13,70723
2020-04-14,83968
2020-04-15,77151
2020-04-16,95561
2020-04-17,87990
2020-04-18,77289
2020-04-19,76602
2020-04-20,76026
2020-04-21,75720
2020-04-22,81243
2020-04-23,84255
2020-04-24,84089
2020-04-25,82264
2020-04-26,71585
2020-04-27,70191
2020-04-28,75426
2020-04-29,77114
2020-04-30,83494
2020-05-01,88376
2020-05-02,79202
2020-05-03,76372
2020-05-04,77690
2020-05-05,80503
2020-05-06,90026
2020-05-07,88707
2020-05-08,90272
2020-05-09,85202
2020-05-10,74999
2020-05-11,76629
2020-05-12,84487
2020-05-13,84980
2020-05-14,96228
2020-05-15,95734
2020-05-16,94435
2020-05-17,78020
2020-05-18,89167
2020-05-19,96782
2020-05-20,101872
2020-05-21,106648
2020-05-22,106426
2020-05-23,104803
2020-05-24,94212
2020-05-25,86718
2020-05-26,93967
2020-05-27,102762
2020-05-28,119283
2020-05-29,120903
2020-05-30,136515
2020-05-31,106408
2020-06-01,95993
2020-06-02,121964
2020-06-03,114237
2020-06-04,130952
2020-06-05,131225
2020-06-06,133737
2020-06-07,112363
2020-06-08,102496
2020-06-09,125059
2020-06-10,135105
2020-06-11,138019
2020-06-12,128764
2020-06-13,135289
2020-06-14,132284
2020-06-15,119658
2020-06-16,142084
2020-06-17,143740
2020-06-18,141059
2020-06-19,179913
2020-06-20,157447
2020-06-21,127700
2020-06-22,139356
2020-06-23,166797
2020-06-24,172576
2020-06-25,178379
2020-06-26,191585
2020-06-27,178126
2020-06-28,163866
2020-06-29,155343
2020-06-30,174538
2020-07-01,217597
2020-07-02,209943
2020-07-03,201381
2020-07-04,193807
2020-07-05,184004
2020-07-06,163962
2020-07-07,211350
2020-07-08,214150
2020-07-09,226818
2020-07-10,232658
2020-07-11,216464
2020-07-12,192286
2020-07-13,191437
2020-07-14,222164
2020-07-15,231441
2020-07-16,251315
2020-07-17,242730
2020-07-18,236180
2020-07-19,213428
2020-07-20,207109
2020-07-21,233648
2020-07-22,279865
2020-07-23,282841
2020-07-24,281052
2020-07-25,254039
2020-07-26,213108
2020-07-27,226417
2020-07-28,252777
2020-07-29,291689
2020-07-30,280061
2020-07-31,290722
2020-08-01,248328
2020-08-02,230994
2020-08-03,206467
2020-08-04,257913
2020-08-05,276566
2020-08-06,285179
2020-08-07,282210
2020-08-08,258511
2020-08-09,224676
2020-08-10,226026
2020-08-11,257524
2020-08-12,276581
2020-08-13,289179
2020-08-14,303730
2020-08-15,247690
2020-08-16,214467
2020-08-17,207709
2020-08-18,258221
2020-08-19,279578
2020-08-20,272302
2020-08-21,261081
2020-08-22,264251
2020-08-23,206178
2020-08-24,225346
2020-08-25,243757
2020-08-26,283917
2020-08-27,283700
2020-08-28,283732
2020-08-29,263738
2020-08-30,220980
2020-08-31,262978
2020-09-01,264728
2020-09-02,283430
2020-09-03,281294
2020-09-04,314038
2020-09-05,269885
2020-09-06,230595
2020-09-07,217781
2020-09-08,242240
2020-09-09,284519
2020-09-10,299923
2020-09-11,321241
2020-09-12,286593
2020-09-13,242634
2020-09-14,263701
2020-09-15,285382
2020-09-16,304352
2020-09-17,314939
2020-09-18,325783
2020-09-19,292082
2020-09-20,251999
2020-09-21,276028
2020-09-22,284314
2020-09-23,275791
2020-09-24,352988
2020-09-25,330771
2020-09-26,288316
2020-09-27,251705
2020-09-28,254749
2020-09-29,282446
2020-09-30,326101
2020-10-01,318236
2020-10-02,297631
2020-10-03,332162
2020-10-04,261423
2020-10-05,300998
2020-10-06,326311
2020-10-07,350877
2020-10-08,361236
2020-10-09,360781
2020-10-10,356971
2020-10-11,286967
2020-10-12,291647
2020-10-13,319257
2020-10-14,382191
2020-10-15,406871
2020-10-16,411668
2020-10-17,372577
2020-10-18,316529
2020-10-19,387011
2020-10-20,389013
2020-10-21,444778
2020-10-22,472627
2020-10-23,496567
2020-10-24,456753
2020-10-25,360375
2020-10-26,486490
2020-10-27,469798
2020-10-28,511489
2020-10-29,550503
2020-10-30,570617
2020-10-31,476544
2020-11-01,462722
2020-11-02,562732
2020-11-03,553363
2020-11-04,511142
2020-11-05,596871
2020-11-06,644605
2020-11-07,596682
2020-11-08,483806
2020-11-09,501254
2020-11-10,558915
2020-11-11,648168
2020-11-12,649803
2020-11-13,651879
2020-11-14,594735
2020-11-15,473703
2020-11-16,534177
2020-11-17,610584
2020-11-18,626936
2020-11-19,653203
2020-11-20,668399
2020-11-21,587264
2020-11-22,487999
2020-11-23,524685
2020-11-24,589943
2020-11-25,635422
2020-11-26,581598
2020-11-27,687319
2020-11-28,585743
2020-11-29,488240
2020-11-30,508118
2020-12-01,611916
2020-12-02,648406
2020-12-03,694900
2020-12-04,682909
2020-12-05,641135
2020-12-06,538750
2020-12-07,519748
2020-12-08,642888
2020-12-09,669023
2020-12-10,1497105
2020-12-11,702934
2020-12-12,620110
2020-12-13,544280
2020-12-14,523951
2020-12-15,636304
2020-12-16,732704
2020-12-17,738624
2020-12-18,719188
2020-12-19,611354
2020-12-20,533210
2020-12-21,548849
2020-12-22,649036
2020-12-23,693927
2020-12-24,665981
2020-12-25,464361
2020-12-26,513141
2020-12-27,438221
2020-12-28,496377
2020-12-29,662595
2020-12-30,759781
2020-12-31,722868
2021-01-01,531310
2021-01-02,626032
2021-01-03,533422
2021-01-04,553609
2021-01-05,738396
2021-01-06,781486
2021-01-07,857988
2021-01-08,821495
2021-01-09,762150
2021-01-10,589156
2021-01-11,618580
2021-01-12,705035
2021-01-13,747507
2021-01-14,754743
2021-01-15,765131
2021-01-16,617305
2021-01-17,549268
2021-01-18,514577
2021-01-19,608218
2021-01-20,694078
2021-01-21,656699
2021-01-22,658334
2021-01-23,567370
2021-01-24,445943
2021-01-25,508738
2021-01-26,550353
2021-01-27,589484
2021-01-28,591520
2021-01-29,611671
2021-01-30,514596
2021-01-31,382036
2021-02-01,443547
