Country,Year,infant_mortality,fertility
Albania,1962,106.5,5.96
Algeria,1962,148.2,7.65
Angola,1962,NA,7.39
Antigua and Barbuda,1962,NA,4.34
Argentina,1962,59.59,3.09
Armenia,1962,NA,4.44
Aruba,1962,NA,4.47
Australia,1962,19.5,3.43
Austria,1962,32.9,2.8
Azerbaijan,1962,NA,5.59
Bahamas,1962,NA,4.45
Bahrain,1962,114.1,7.17
Bangladesh,1962,167.6,6.79
Barbados,1962,61.2,4.27
Belarus,1962,NA,2.7
Belgium,1962,27,2.63
Belize,1962,NA,6.46
Benin,1962,180.6,6.39
Bhutan,1962,NA,6.67
Bolivia,1962,167.7,6.65
Bosnia and Herzegovina,1962,NA,3.85
Botswana,1962,109,6.65
Brazil,1962,122.9,6.14
Brunei,1962,NA,6.45
Bulgaria,1962,NA,2.21
Burkina Faso,1962,157.5,6.34
Burundi,1962,144.6,7.05
Cambodia,1962,NA,6.96
Cameroon,1962,160.5,5.77
Canada,1962,26,3.77
Cape Verde,1962,NA,6.95
Central African Republic,1962,160.4,5.89
Chad,1962,NA,6.29
Chile,1962,116.7,5.46
China,1962,110,5.97
Colombia,1962,85.9,6.78
Comoros,1962,NA,6.9
"Congo, Dem. Rep.",1962,NA,6.03
"Congo, Rep.",1962,106.1,5.97
Costa Rica,1962,80.64,7.22
Cote d'Ivoire,1962,197.7,7.5
Croatia,1962,NA,2.27
Cuba,1962,NA,4.51
Cyprus,1962,NA,3.42
Czech Republic,1962,NA,2.23
Denmark,1962,20.2,2.54
Djibouti,1962,NA,6.53
Dominican Republic,1962,99.6,7.4
Ecuador,1962,115.3,6.65
Egypt,1962,195.9,6.57
El Salvador,1962,121.6,6.75
Equatorial Guinea,1962,NA,5.53
Eritrea,1962,NA,6.84
Estonia,1962,NA,1.94
Ethiopia,1962,NA,6.88
Fiji,1962,50.3,6.09
Finland,1962,19.5,2.66
France,1962,21.3,2.81
French Polynesia,1962,NA,5.5
Gabon,1962,NA,4.54
Gambia,1962,143.8,5.67
Georgia,1962,NA,2.95
Germany,1962,NA,2.47
Ghana,1962,122.7,6.83
Greece,1962,46.2,2.22
Greenland,1962,NA,7.09
Grenada,1962,NA,6.44
Guatemala,1962,140.7,6.49
Guinea,1962,209.1,6.12
Guinea-Bissau,1962,NA,5.67
Guyana,1962,62.9,5.49
Haiti,1962,188.3,6.3
Honduras,1962,132.4,7.44
"Hong Kong, China",1962,NA,5.18
Hungary,1962,49,1.92
Iceland,1962,16.9,3.98
India,1962,160.1,5.84
Indonesia,1962,141.2,5.65
Iran,1962,176.37,6.91
Iraq,1962,118.3,6.51
Ireland,1962,28,3.98
Israel,1962,NA,3.83
Italy,1962,41,2.44
Jamaica,1962,57.7,5.63
Japan,1962,25.5,1.97
Jordan,1962,96.6,7.9
Kazakhstan,1962,NA,4.44
