RFID	plant ID	KillDate	BodyNo	LeftSideScanTime	RightSideScanTime	Est % BI	MSA/Index
818 415178538393	1	2016-08-02 00:00:00 UTC	99	445		X	56.83
201 553126081288	1	2016-08-15 00:00:00 UTC	193	423		X	59.52
253 120151214628	1	2016-08-15 00:00:00 UTC	257	542		X	61.09
151 288325550128	1	2016-09-19 00:00:00 UTC	228	426		X	60.04
516 307065766700	1	2016-09-12 00:00:00 UTC	212	425		X	57.46
737 293938472518	2	2016-05-06 00:00:00 UTC	263	305	305	25	58.2
316 472796949464	1	2016-10-04 00:00:00 UTC	238	402		X	58.58
633 416940178699	1	2016-02-01 00:00:00 UTC	198	608		X	58.56
388 790436328295	1	2016-07-18 00:00:00 UTC	252	728		X	52.62
681 564494401239	1	2016-04-04 00:00:00 UTC	374	749		X	51.47
938 869671352905	1	2016-06-27 00:00:00 UTC	147	427		X	58.13
541 858599230763	1	2016-09-05 00:00:00 UTC	196	537		X	61.24
956 503624185570	1	2016-02-22 00:00:00 UTC	130	510		X	55.76
703 524221666133	1	2016-09-05 00:00:00 UTC	195	529		X	59.73
721 501669883658	1	2016-06-06 00:00:00 UTC	74	353		X	60.61
540 705164091032	1	2016-05-09 00:00:00 UTC	240	443		X	57.98
142 184103353205	1	2016-08-08 00:00:00 UTC	212	514		X	57.81
527 104147622385	1	2016-02-15 00:00:00 UTC	78	453		X	49.94
228 135331865749	2	2016-07-28 00:00:00 UTC	385	424	424	25	61.5
